feature,claimed_status,actual_status,implementation_verified,data_verified,runtime_verified,scientific_validity,fake_or_hardcoded,critical_issue,evidence_path
Feature 1,Completed,A,TRUE,TRUE,TRUE,High (Official clearance docs),None,None,data/processed/project_metadata.csv
Feature 2,Completed,A,TRUE,TRUE,TRUE,High (Geodesic areas align with clearances),None,None,data/processed/project_boundaries/
Feature 3,Completed,A,TRUE,TRUE,TRUE,High (Real 6-band Sentinel-2 & Dynamic World rasters),None,None,data/processed/satellite/
Feature 4,Completed,A,TRUE,TRUE,TRUE,High (Standard multispectral pre-processing),None,None,src/satellite_pipeline.py
Feature 5,Completed,A,TRUE,TRUE,TRUE,High (Annual NDVI rasters and monsoon audits),None,None,data/processed/vegetation/ndvi/
Feature 6,Completed,A,TRUE,TRUE,TRUE,Moderate (Training patch dataset with LULC reference),None,None,data/processed/training/training_samples.csv
Feature 7,Completed,A,TRUE,TRUE,TRUE,Moderate (Rule-derived spectral anomaly candidate grids),None,None,data/processed/change/candidates/
Feature 8.1,Completed,A,TRUE,TRUE,TRUE,Moderate (Tabular XGBoost surrogate classifier),None,None,data/processed/modeling/baseline/
Feature 8.2,Completed,A,TRUE,TRUE,TRUE,Moderate (Spatial 2D CNN baseline),None,None,data/processed/modeling/cnn_baseline/
Feature 8.3,Completed,A,TRUE,TRUE,TRUE,Moderate (Controlled benchmark experiments),None,None,data/processed/modeling/controlled_benchmark/
Feature 8.4,Completed,A,TRUE,TRUE,TRUE,Moderate (Robustness and corruption tests),None,None,data/processed/modeling/controlled_benchmark/
Feature 8.5,Completed,A,TRUE,TRUE,TRUE,Moderate (Hyperparameter and split exploration),None,None,data/processed/modeling/controlled_benchmark/
Feature 8.6,Completed,A,TRUE,TRUE,TRUE,Moderate (Leave-One-Project-Out spatial CNN),None,None,data/processed/modeling/cross_project_generalization/
Feature 8.6.1,Completed,A,TRUE,TRUE,TRUE,High (Population discrepancy audit - no leakage),None,None,data/processed/modeling/cross_project_generalization/
Feature 8.7-A,Completed,A,TRUE,TRUE,TRUE,High (10752 5-year temporal tensors 2021-2025),None,None,data/processed/modeling/temporal_spatial_cnn/temporal_delta_train.npz
Feature 8.7-B,Completed,A,TRUE,TRUE,TRUE,Moderate (Delta 3D CNN trained; PR-AUC 0.3791),None,None,data/processed/modeling/temporal_spatial_cnn/model/temporal_cnn_delta.pth
Feature 8.7.1,Completed,A,TRUE,TRUE,TRUE,High (Statistical audit and bootstrap CI verification),None,None,data/processed/modeling/temporal_spatial_cnn/audit/
Feature 8.7.2,Completed,A,TRUE,TRUE,TRUE,High (Reconciled test population N=1226),None,None,data/processed/modeling/temporal_spatial_cnn/audit/reconciliation/
Feature 8.7-C,Completed,A,TRUE,TRUE,TRUE,Moderate (LOPO temporal CNN evaluation),None,None,data/processed/modeling/temporal_spatial_cnn/cross_project/
Feature 8.7-D,Completed,A,TRUE,TRUE,TRUE,High (Full chain integrity audit PASS),None,None,data/processed/modeling/temporal_spatial_cnn/final_audit/
Feature 8.8,Completed,A,TRUE,TRUE,TRUE,Moderate (Delta Temporal CNN selected for research pilot),None,None,data/processed/modeling/final_model_selection/
Feature 9,Completed,A,TRUE,TRUE,TRUE,Moderate (Pilot inference: 10752 seq -> 10004 patches -> 157 hotspots),None,None,data/processed/modeling/pilot_inference/hotspots/pilot_hotspots.csv
Feature 10,Completed,A,TRUE,TRUE,TRUE,Low to Moderate (Proxy NDVI/DW evidence; partially circular),None,None,data/processed/modeling/candidate_validation/hotspot_evidence/validated_hotspots.csv
Feature 10.1,Completed,A,TRUE,TRUE,TRUE,Moderate (Calibration diagnostic; uncalibrated scores; median 0.1746),None,None,data/processed/modeling/candidate_validation/calibration/feature10_1_probability_distribution.csv
Feature 11,Completed,A,TRUE,TRUE,TRUE,Moderate (157 hotspots: 8 High, 15 Med, 46 Low, 88 Unsup),None,None,data/processed/modeling/candidate_prioritization/feature11_hotspot_priority.csv
Feature 12-A,Completed,A,TRUE,TRUE,TRUE,High (Architecture and API contracts established),None,None,docs/dashboard/
Feature 12-B,Completed,A,TRUE,TRUE,TRUE,High (Read-only FastAPI backend; 13/13 tests pass),None,None,dashboard/backend/
Feature 12-C,Completed,A,TRUE,TRUE,TRUE,High (React + MapLibre UI; builds cleanly),None,None,dashboard/frontend/
Feature 12-C.1,Completed,A,TRUE,TRUE,TRUE,High (Vite 5.4 stabilization & build fix),None,None,dashboard/frontend/package.json
Feature 12-C.2,Completed,A,TRUE,TRUE,TRUE,High (MapLibre rendering & CRS alignment fix),None,None,dashboard/frontend/src/components/MapView.tsx
Feature 12-C.4,Planned,F,FALSE,FALSE,FALSE,N/A,None,Satellite basemap layer not yet implemented,N/A
